employeeid,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome(USD),NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimes,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,yearofjoining,TechnologyAdoption,Benefits,Facilities,ChallengingLevels,ExtracurricularActivities,YearOfLeaving
107801,28,No,Travel_Frequently,Research & Development,6,Life Sciences,3,Male,3,1,Research Scientist,3,Single,2703,1,Y,N,14,3,4,1,3,2,3,3,1,0,2,2014,5,2,3,0,3,
107802,33,No,Travel_Rarely,Research & Development,5,Life Sciences,4,Male,2,3,Healthcare Representative,4,Divorced,7119,4,Y,No,15,3,4,1,9,2,3,3,2,1,2,2014,4,2,3,0,4,
107803,34,Yes,Travel_Frequently,Research & Development,2,Life Sciences,2,Male,3,2,Manufacturing Director,3,Divorced,4033,2,Y,No,11,3,4,0,5,3,2,3,2,0,2,2008,3,4,2,1,3,2011
107804,33,No,Travel_Frequently,Sales,7,Life Sciences,4,Female,3,2,Sales Executive,2,Married,4302,0,Y,Y,17,3,3,1,4,3,3,3,2,0,2,2014,2,3,4,1,2,
107805,32,No,Travel_Rarely,Sales,2,Marketing,3,Male,3,2,Sales Executive,2,Married,4078,0,Y,Yes,13,3,1,3,4,3,2,3,2,1,2,2014,2,5,4,1,2,
107806,37,No,Travel_Rarely,Research & Development,11,Medical,1,Male,3,1,Laboratory Technician,3,Single,3629,4,Y,No,18,3,1,0,8,6,3,3,2,0,2,2014,3,4,5,0,5,
107807,25,Yes,Travel_Rarely,Sales,18,Life Sciences,1,Female,4,2,Sales Executive,3,Married,6232,2,Y,No,11,3,2,0,6,3,2,3,2,1,2,2011,4,3,2,1,4,2014
107808,25,No,Travel_Rarely,Research & Development,1,Technical Degree,1,Male,3,1,Laboratory Technician,4,Single,3229,4,Y,N,11,3,2,1,7,2,2,3,2,0,2,2014,5,2,3,0,3,
107809,31,No,Travel_Rarely,Research & Development,8,Life Sciences,1,Male,3,4,Research Director,2,Single,16422,3,Y,No,11,3,4,0,9,3,4,3,2,1,0,2014,4,2,3,0,4,
107810,30,Yes,Travel_Rarely,Sales,7,Marketing,2,Female,3,2,Sales Executive,1,Divorced,4779,7,Y,No,14,3,2,2,8,3,3,3,2,0,2,2008,3,4,2,1,3,2011
107811,25,No,Travel_Rarely,Research & Development,19,Medical,4,Male,3,1,Laboratory Technician,4,Married,3669,3,Y,Y,11,3,3,3,7,6,2,3,2,1,2,2014,2,3,4,1,2,
107812,50,No,Travel_Rarely,Research & Development,28,Life Sciences,4,Female,3,4,Research Director,1,Married,16880,4,Y,Yes,11,3,2,0,25,2,3,3,2,1,2,2014,2,5,4,1,2,
107813,44,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,1,Laboratory Technician,1,Single,2362,4,Y,No,12,3,3,0,10,4,4,3,2,1,2,2014,3,4,5,0,5,
107814,31,Yes,Travel_Frequently,Sales,1,Life Sciences,4,Female,3,1,Sales Representative,2,Single,2302,1,Y,Yes,11,3,2,0,3,2,4,3,2,2,2,2011,4,3,2,1,4,2014
107815,31,No,Travel_Rarely,Human Resources,8,Medical,4,Female,3,1,Human Resources,2,Single,2109,9,Y,N,18,3,4,0,8,3,3,3,2,0,2,2014,5,2,3,0,3,
107816,56,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,3,1,Research Scientist,1,Married,2066,2,Y,No,22,4,4,1,5,3,4,3,2,1,0,2014,4,2,3,0,4,
107817,36,Yes,Travel_Rarely,Sales,16,Marketing,2,Female,2,2,Sales Executive,1,Divorced,5647,4,Y,No,13,3,1,2,11,3,2,3,2,0,2,2008,3,4,2,1,3,2011
107818,25,Yes,Travel_Rarely,Sales,9,Life Sciences,1,Male,3,1,Sales Representative,1,Married,4400,3,Y,Y,12,3,3,0,6,2,3,3,2,2,2,2007,2,3,4,1,2,2010
107819,40,No,Travel_Rarely,Research & Development,2,Medical,3,Male,3,1,Research Scientist,3,Divorced,2345,2,Y,No,14,3,3,1,8,3,4,3,1,1,2,2014,2,5,4,1,2,
107820,49,No,Travel_Rarely,Research & Development,5,Technical Degree,1,Male,3,2,Healthcare Representative,3,Single,6651,2,Y,No,14,3,2,1,20,0,2,3,2,1,2,2014,3,4,5,0,5,
107821,45,Yes,Travel_Rarely,Research & Development,29,Technical Degree,2,Female,3,3,Manufacturing Director,4,Married,9380,4,Y,Yes,18,3,2,2,10,4,4,3,1,1,2,2011,4,3,2,1,4,2014
107822,55,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,2,Healthcare Representative,3,Single,4035,0,Y,N,16,3,2,0,4,2,3,3,2,1,2,2014,5,2,3,0,3,
107823,29,No,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,3,1,Laboratory Technician,2,Married,3180,0,Y,No,13,3,4,3,4,3,3,3,2,0,2,2014,4,2,3,0,4,
107824,49,Yes,Travel_Rarely,Research & Development,3,Medical,2,Female,2,2,Laboratory Technician,1,Divorced,4789,4,Y,No,25,4,1,1,10,3,3,3,2,1,2,2008,3,4,2,1,3,2011
107825,28,Yes,Travel_Frequently,Sales,1,Technical Degree,1,Male,3,1,Sales Representative,3,Married,2909,3,Y,Y,15,3,3,1,5,3,4,3,2,1,2,2007,2,3,4,1,2,2010
107826,35,No,Travel_Rarely,Research & Development,1,Medical,4,Male,2,1,Laboratory Technician,1,Single,2450,1,Y,No,19,3,2,0,3,3,3,3,0,1,2,2014,2,5,4,1,2,
107827,36,No,Travel_Rarely,Sales,2,Life Sciences,3,Male,3,1,Sales Representative,4,Single,2644,3,Y,Yes,21,4,4,0,7,3,2,3,2,1,2,2014,3,4,5,0,5,
107828,36,Yes,Travel_Frequently,Research & Development,6,Life Sciences,1,Female,4,2,Laboratory Technician,1,Married,5562,3,Y,Yes,13,3,2,1,9,3,3,3,2,0,2,2011,4,3,2,1,4,2014
107829,38,No,Travel_Rarely,Sales,16,Life Sciences,2,Female,3,2,Sales Executive,2,Single,4198,2,Y,N,12,3,2,0,8,5,4,3,2,1,2,2014,5,2,3,0,3,
107830,36,No,Travel_Rarely,Research & Development,5,Life Sciences,2,Male,3,3,Healthcare Representative,1,Married,8008,4,Y,No,12,3,4,2,9,6,3,3,2,0,2,2014,4,2,3,0,4,
107831,32,Yes,Travel_Rarely,Research & Development,5,Other,2,Female,4,1,Research Scientist,4,Divorced,3312,3,Y,No,17,3,4,2,6,3,3,3,2,0,2,2008,3,4,2,1,3,2011
107832,36,No,Travel_Rarely,Research & Development,12,Life Sciences,3,Female,3,2,Manufacturing Director,3,Married,4663,9,Y,Y,12,3,3,2,7,2,3,3,2,1,1,2014,2,3,4,1,2,
107833,47,No,Travel_Rarely,Sales,2,Life Sciences,2,Female,4,4,Sales Executive,2,Divorced,15972,6,Y,No,14,3,3,3,29,2,3,3,2,1,2,2014,2,5,4,1,2,
107834,41,No,Non-Travel,Human Resources,4,Human Resources,3,Male,1,2,Human Resources,2,Single,6430,6,Y,No,19,3,2,1,10,4,3,3,2,1,2,2014,3,4,5,0,5,
107835,36,Yes,Travel_Rarely,Research & Development,26,Life Sciences,1,Female,3,2,Healthcare Representative,3,Married,5347,6,Y,No,14,3,2,2,10,2,2,3,2,0,2,2011,4,3,2,1,4,2014
107836,27,No,Travel_Rarely,Research & Development,8,Medical,2,Female,3,1,Research Scientist,3,Single,3517,7,Y,N,17,3,1,0,5,0,3,3,2,0,2,2014,5,2,3,0,3,
107837,36,No,Non-Travel,Research & Development,1,Medical,4,Male,2,2,Manufacturing Director,3,Married,4374,0,Y,No,15,3,4,0,4,6,3,3,2,1,2,2014,4,2,3,0,4,
107838,23,Yes,Travel_Rarely,Sales,7,Life Sciences,2,Male,3,1,Sales Representative,4,Divorced,2275,1,Y,Yes,21,4,2,1,3,2,3,3,2,0,2,2008,3,4,2,1,3,2011
107839,26,No,Travel_Rarely,Research & Development,17,Medical,4,Male,3,1,Laboratory Technician,3,Married,2305,1,Y,Y,15,3,3,3,3,3,4,3,2,0,2,2014,2,3,4,1,2,
107840,45,No,Travel_Rarely,Research & Development,7,Medical,1,Female,3,1,Research Scientist,3,Married,4477,4,Y,Yes,19,3,3,1,7,2,2,3,2,0,2,2014,2,5,4,1,2,
107841,28,No,Travel_Frequently,Research & Development,6,Life Sciences,3,Male,2,1,Research Scientist,3,Single,2703,1,Y,Yes,14,3,4,1,3,2,3,3,1,0,2,2014,3,4,5,0,5,
107842,34,Yes,Travel_Frequently,Research & Development,2,Life Sciences,4,Female,3,2,Manufacturing Director,3,Single,4033,2,Y,No,11,3,2,0,5,3,2,3,2,0,2,2011,4,3,2,1,4,2014
107843,33,No,Travel_Frequently,Sales,7,Life Sciences,4,Female,3,2,Sales Executive,2,Single,4302,0,Y,N,17,3,3,1,4,3,3,3,2,0,2,2014,5,2,3,0,3,
107844,29,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,3,1,Research Scientist,4,Divorced,3760,1,Y,No,15,3,4,3,3,5,3,3,2,1,2,2014,4,2,3,0,4,
107845,35,Yes,Travel_Rarely,Research & Development,6,Life Sciences,2,Male,3,1,Research Scientist,3,Divorced,3506,0,Y,Yes,14,3,4,0,4,3,3,3,2,2,2,2008,3,4,2,1,3,2011
107846,34,No,Travel_Rarely,Sales,2,Marketing,3,Female,3,2,Sales Executive,1,Single,4538,0,Y,Y,12,3,3,0,4,3,3,3,2,0,2,2014,2,3,4,1,2,
107847,28,No,Travel_Rarely,Research & Development,1,Technical Degree,4,Male,3,1,Research Scientist,1,Single,2080,2,Y,No,11,3,2,0,5,2,2,3,2,1,2,2014,2,5,4,1,2,
